name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"bytes","bytes_per_entry"
"BM_Insert<ChainingHashMap<0.5>>/256",70374,9942.59,9942.29,ns,,,,,,16384,64
"BM_Insert<ChainingHashMap<0.5>>/512",32472,20370.7,20360.7,ns,,,,,,32768,64
"BM_Insert<ChainingHashMap<0.5>>/4096",4091,166503,166499,ns,,,,,,262144,64
"BM_Insert<ChainingHashMap<0.5>>/32768",525,1.34353e+06,1.34335e+06,ns,,,,,,2.09715e+06,64
"BM_Insert<ChainingHashMap<0.5>>/65536",260,2.70375e+06,2.70369e+06,ns,,,,,,4.1943e+06,64
"BM_Insert<LinearProbingHashMap<0.5>>/256",663149,1044,1043.98,ns,,,,,,4608,18
"BM_Insert<LinearProbingHashMap<0.5>>/512",402266,1654.59,1654.56,ns,,,,,,9216,18
"BM_Insert<LinearProbingHashMap<0.5>>/4096",66412,10620.6,10620.3,ns,,,,,,73728,18
"BM_Insert<LinearProbingHashMap<0.5>>/32768",9530,74538.8,74537.1,ns,,,,,,589824,18
"BM_Insert<LinearProbingHashMap<0.5>>/65536",4510,145607,145604,ns,,,,,,1.17965e+06,18
"BM_Insert<RobinHoodHashMap<0.5>>/256",538329,1313.81,1313.79,ns,,,,,,4160,16.25
"BM_Insert<RobinHoodHashMap<0.5>>/512",290373,2416.04,2415.99,ns,,,,,,8320,16.25
"BM_Insert<RobinHoodHashMap<0.5>>/4096",40410,17255.6,17255.3,ns,,,,,,66560,16.25
"BM_Insert<RobinHoodHashMap<0.5>>/32768",5325,132744,132741,ns,,,,,,532480,16.25
"BM_Insert<RobinHoodHashMap<0.5>>/65536",2648,265483,265474,ns,,,,,,1.06496e+06,16.25
"BM_Insert<StdUnorderedMapAdapter<0.5>>/256",93255,7010.41,7010.35,ns,,,,,,15360,60
"BM_Insert<StdUnorderedMapAdapter<0.5>>/512",48319,14256.4,14256.1,ns,,,,,,30720,60
"BM_Insert<StdUnorderedMapAdapter<0.5>>/4096",6576,104508,104506,ns,,,,,,245760,60
"BM_Insert<StdUnorderedMapAdapter<0.5>>/32768",835,833567,833550,ns,,,,,,1.88416e+06,57.5
"BM_Insert<StdUnorderedMapAdapter<0.5>>/65536",407,1.69686e+06,1.69682e+06,ns,,,,,,3.75194e+06,57.25
"BM_Insert<ChainingHashMap<0.75>>/256",54208,13010.2,13010.1,ns,,,,,,16384,64
