name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertDense<IndexArenaSentinel>/256",9150,77417.9,77416.7,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/512",4681,147745,147742,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/4096",708,1.00337e+06,1.00336e+06,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/32768",99,6.97758e+06,6.97736e+06,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/65536",49,1.41719e+07,1.41717e+07,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/256",7973,87378,87376.1,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/512",4048,172492,172490,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/4096",584,1.1904e+06,1.19038e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/32768",80,8.67502e+06,8.67482e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/65536",39,1.78591e+07,1.78586e+07,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/256",39944,17340.1,17339.7,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/512",17487,40823.6,40822.4,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/4096",2018,339160,339153,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/32768",262,2.75413e+06,2.7541e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/65536",124,5.4728e+06,5.47269e+06,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/256",97943,7078.82,7078.69,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/512",49488,14115.7,14115.4,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/4096",6215,112810,112808,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/32768",775,902968,902948,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/65536",387,1.8028e+06,1.80277e+06,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/256",8947,78502.2,78500.7,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/512",4760,146230,146229,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/4096",704,996210,996190,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/32768",100,7.0115e+06,7.01133e+06,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/65536",49,1.41838e+07,1.41835e+07,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/256",7898,88168.9,88167.3,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/512",4063,171791,171788,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/4096",598,1.16494e+06,1.16492e+06,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/32768",82,8.49895e+06,8.49873e+06,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/65536",38,1.78412e+07,1.78408e+07,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/256",39767,17571,17570.6,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/512",17286,41482.9,41481.7,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/4096",2001,338444,338436,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/32768",243,2.76616e+06,2.76609e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/65536",127,5.65798e+06,5.65785e+06,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/256",98623,7120.79,7120.64,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/512",48927,14178.4,14177.9,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/4096",6176,114294,114290,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/32768",771,911577,911559,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/65536",382,1.8278e+06,1.82777e+06,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/256",10070,69083.3,69081.9,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/512",5295,132653,132651,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/4096",775,903017,902999,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/32768",124,5.58063e+06,5.58051e+06,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/65536",67,1.04854e+07,1.04851e+07,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/256",8920,77978.7,77977,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/512",4482,155806,155803,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/4096",666,1.05769e+06,1.05767e+06,ns,,,,,
