name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertDense<IndexArenaSentinel>/256",43571,16178.8,16178.1,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/512",22550,31020.2,31016.1,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/4096",4589,154945,154942,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/32768",467,1.4842e+06,1.48416e+06,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/65536",197,3.50483e+06,3.50474e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/256",40003,17502,17501.9,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/512",20598,33496.9,33496.6,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/4096",2917,235908,235903,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/32768",444,1.5486e+06,1.54858e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/65536",180,3.86912e+06,3.86901e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/256",749577,912.341,912.32,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/512",259305,2702.75,2702.69,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/4096",30487,24481.7,24481.3,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/32768",3376,202819,202813,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/65536",1279,552751,552723,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/256",5444293,127.458,127.455,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/512",2826889,247.871,247.866,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/4096",361225,1952.48,1952.45,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/32768",45367,15459.4,15459,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/65536",22663,31374.2,31373.6,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/256",42446,16217.1,16216.8,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/512",22723,30848.8,30848.2,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/4096",4573,154610,154607,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/32768",467,1.50234e+06,1.50229e+06,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/65536",197,3.47894e+06,3.47886e+06,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/256",40048,17488,17487.7,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/512",21151,33394.8,33394.2,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/4096",2935,235603,235598,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/32768",449,1.5499e+06,1.54986e+06,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/65536",180,3.92685e+06,3.92673e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/256",773711,904.233,904.215,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/512",250688,2821.09,2821.03,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/4096",28014,23530.4,23530.1,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/32768",3313,208045,208040,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/65536",1238,562597,562578,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/256",10085874,69.9303,69.9287,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/512",5303794,134.35,134.346,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/4096",691358,1027.59,1027.55,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/32768",87478,7949.99,7949.83,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/65536",43395,16703.4,16702.8,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/256",59794,11579.3,11579.1,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/512",31504,22267.9,22267.5,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/4096",4656,150988,150984,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/32768",740,956282,956259,ns,,,,,
"BM_InsertDense<DequeArenaTrie>/65536",400,1.81205e+06,1.812e+06,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/256",53500,12999.9,12999.6,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/512",25311,27717.7,27717.4,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/4096",3681,189521,189517,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/32768",466,1.49143e+06,1.49138e+06,ns,,,,,
"BM_InsertSparse<DequeArenaTrie>/65536",252,2.83679e+06,2.83671e+06,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/256",527394,1203.53,1203.5,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/512",259979,2671.82,2671.77,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/4096",34854,21483,21482.3,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/32768",3088,213600,213594,ns,,,,,
"BM_SearchHitDense<DequeArenaTrie>/65536",773,923672,923647,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/256",6524495,107.263,107.261,ns,,,,,
"BM_SearchMiss<DequeArenaTrie>/512",3332683,209.7,209.696,ns,,,,,
